state,cntyName,coastal
DC,District of Columbia,Y
DE,Kent County,Y
DE,New Castle County,Y
DE,Sussex County,Y
MD,Allegany County,
MD,Anne Arundel County,Y
MD,Baltimore County,Y
MD,Baltimore City,Y
MD,Calvert County,Y
MD,Caroline County,Y
MD,Carroll County,
MD,Cecil County,Y
MD,Charles County,Y
MD,Dorchester County,Y
MD,Frederick County,
MD,Garrett County,
MD,Harford County,Y
MD,Howard County,
MD,Kent County,Y
MD,Montgomery County,
MD,Prince George's County,Y
MD,Queen Anne's County,Y
MD,Somerset County,Y
MD,St. Mary's County,Y
MD,Talbot County,Y
MD,Washington County,
MD,Wicomico County,Y
MD,Worcester County,Y
NJ,Atlantic County,Y
NJ,Bergen County,Y
NJ,Burlington County,Y
NJ,Camden County,Y
NJ,Cape May County,Y
NJ,Cumberland County,Y
NJ,Essex County,Y
NJ,Gloucester County,Y
NJ,Hudson County,Y
NJ,Hunterdon County,
NJ,Mercer County,Y
NJ,Middlesex County,Y
NJ,Monmouth County,Y
NJ,Morris County,
NJ,Ocean County,Y
NJ,Passaic County,Y
NJ,Salem County,Y
NJ,Somerset County,Y
NJ,Sussex County,
NJ,Union County,Y
NJ,Warren County,
NY,Albany County,Y
NY,Allegany County,
NY,Bronx County,Y
NY,Broome County,
NY,Cattaraugus County,
NY,Cayuga County,
NY,Chautauqua County,
NY,Chemung County,
NY,Chenango County,
NY,Clinton County,
NY,Columbia County,
NY,Cortland County,
NY,Delaware County,
NY,Dutchess County,Y
NY,Erie County,
NY,Essex County,
NY,Franklin County,
NY,Fulton County,
NY,Genesee County,
NY,Greene County,
NY,Hamilton County,
NY,Herkimer County,
NY,Jefferson County,
NY,Kings County,Y
NY,Lewis County,
NY,Livingston County,
NY,Madison County,
NY,Monroe County,
NY,Montgomery County,
NY,Nassau County,Y
NY,New York County,Y
NY,Niagara County,
NY,Oneida County,
NY,Onondaga County,
NY,Ontario County,
NY,Orange County,Y
NY,Orleans County,
NY,Oswego County,
NY,Otsego County,
NY,Putnam County,Y
NY,Queens County,Y
NY,Rensselaer County,
NY,Richmond County,Y
NY,Rockland County,Y
NY,Saratoga County,
NY,Schenectady County,
NY,Schoharie County,
NY,Schuyler County,
NY,Seneca County,
NY,St. Lawrence County,
NY,Steuben County,
NY,Suffolk County,Y
NY,Sullivan County,
NY,Tioga County,
NY,Tompkins County,
NY,Ulster County,Y
NY,Warren County,
NY,Washington County,
NY,Wayne County,
NY,Westchester County,Y
NY,Wyoming County,
NY,Yates County,
