,,,,,Description,,,,,Geographic Scope,,,,,Purpose,,,,,,,,,,,,,,Tool Type,,,,,Tool Inputs,,Tool Outputs,,,Tool Outputs,,,,,,Software Requirements,,,,,Effort / Skill,,,Topic Filters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uncertainty Analysis,,Contact Information,,,,,Documentation,,Notes,,,,,,,,,
Group ID,Tool ID,Tool Name,Developer,URL,About,Strengths,Limitations,Target Audience,Climate Relevance,Scope,State,Locality,Coastal,Counties to include,Tool Function,,,,,,,,,Future Projections,,,,Description,data,map,dl,port,anl,Required?,Data Type,dat,vis,rprt,dat,fig,gis,map,rprt,Description,Cost,software,desktop,mobile,pdf,Time,Skill,Description,Main Topics,,,,,Climate,,,,,,Ecosystems,,,,,,Agriculture / Built Environment,,,,,,,,Society,,,,Water / Flooding,,,,,,,,Uncertainty,Description,Name (1),Email (1),Name (2),Email (2),URL,Date Developed/ Updated,Related Publications,Entered,Reviewed,Reviewed by Developer,Misc. ,Included in other inventories?,,,,,
,,,,,,,,,,,,,,,past,futr,risk,adpt,mtgt,opt,prcs,eng,com,near,shrt,mid,long,,,,,,,,,,,,,,,,,,,,,,,,,,clim,eco,ag/blt,soc,fld,crbn,temp,prcp,slr,strm,drght,wet,sav,shln,soil,rest,val,agr,for,fish,ufor,plan,bldg,trnsp,econ,socv,cult,hlth,air,high,surge,salt,inlnd,ersn,wl,qual,flow,,,,,,,,,,,,,,CRT,GT,AC,CX,DC,NO
Group ID,Tool ID,Tool Name,Developer,URL,Description-About,Description-Strengths,Description-Limitations,Description-Target Audience,Description-Climate Relevance,Geographic Scope-Scope,Geographic Scope-State,Geographic Scope-Locality,Geographic Scope-Coastal,Geographic Scope-Counties to include,Purpose-Tool Function-past,Purpose-Tool Function-futr,Purpose-Tool Function-risk,Purpose-Tool Function-adpt,Purpose-Tool Function-mtgt,Purpose-Tool Function-opt,Purpose-Tool Function-prcs,Purpose-Tool Function-eng,Purpose-Tool Function-com,Purpose-Future Projections-near,Purpose-Future Projections-shrt,Purpose-Future Projections-mid,Purpose-Future Projections-long,Purpose-Description,Tool Type-data,Tool Type-map,Tool Type-dl,Tool Type-port,Tool Type-anl,Tool Inputs-Required?,Tool Inputs-Data Type,Tool Outputs-dat,Tool Outputs-vis,Tool Outputs-rprt,Tool Outputs-dat,Tool Outputs-fig,Tool Outputs-gis,Tool Outputs-map,Tool Outputs-rprt,Tool Outputs-Description,Software Requirements-Cost,Software Requirements-software,Software Requirements-desktop,Software Requirements-mobile,Software Requirements-pdf,Effort / Skill-Time,Effort / Skill-Skill,Effort / Skill-Description,Topic Filters-Main Topics-clim,Topic Filters-Main Topics-eco,Topic Filters-Main Topics-ag/blt,Topic Filters-Main Topics-soc,Topic Filters-Main Topics-fld,Topic Filters-Climate-crbn,Topic Filters-Climate-temp,Topic Filters-Climate-prcp,Topic Filters-Climate-slr,Topic Filters-Climate-strm,Topic Filters-Climate-drght,Topic Filters-Ecosystems-wet,Topic Filters-Ecosystems-sav,Topic Filters-Ecosystems-shln,Topic Filters-Ecosystems-soil,Topic Filters-Ecosystems-rest,Topic Filters-Ecosystems-val,Topic Filters-Agriculture / Built Environment-agr,Topic Filters-Agriculture / Built Environment-for,Topic Filters-Agriculture / Built Environment-fish,Topic Filters-Agriculture / Built Environment-ufor,Topic Filters-Agriculture / Built Environment-plan,Topic Filters-Agriculture / Built Environment-bldg,Topic Filters-Agriculture / Built Environment-trnsp,Topic Filters-Agriculture / Built Environment-econ,Topic Filters-Society-socv,Topic Filters-Society-cult,Topic Filters-Society-hlth,Topic Filters-Society-air,Topic Filters-Water / Flooding-high,Topic Filters-Water / Flooding-surge,Topic Filters-Water / Flooding-salt,Topic Filters-Water / Flooding-inlnd,Topic Filters-Water / Flooding-ersn,Topic Filters-Water / Flooding-wl,Topic Filters-Water / Flooding-qual,Topic Filters-Water / Flooding-flow,Uncertainty Analysis-Uncertainty,Uncertainty Analysis-Description,Contact Information-Name (1),Contact Information-Email (1),Contact Information-Name (2),Contact Information-Email (2),Contact Information-URL,Documentation-Date Developed/ Updated,Documentation-Related Publications,Notes-Entered,Notes-Reviewed,Notes-Reviewed by Developer,Notes-Misc. ,Notes-Included in other inventories?-CRT,Notes-Included in other inventories?-GT,Notes-Included in other inventories?-AC,Notes-Included in other inventories?-CX,Notes-Included in other inventories?-DC,Notes-Included in other inventories?-NO
,,Tool name followed by any acronyms in parentheses,"Developer followed by any acronyms in parentheses, separate multiple developers by semicolon ",hyperlink URL,"paragraph form, 1-2 sentences describing what the tool does, followed by 3-5 sentences summarizing the tool purpose, interface, strengths, and weaknesses","list 3-5 strengths, separate multiple strengths in a list (ex:  strength)","list 2-3 limitations, separate multiple limitations in a list (ex:; limitation)","list intended audience, separate multiple items in a list (ex:; audience)","1-2 sentence description relevance to climate change, extreme weather, and/or climate variability","single option (generalized, national, state, locality)","If scope is State: enter each state supported by the tool, separated by semicolon","If scope is Local: enter each locality supported by the tool, separated by semicolon",If location scope is only Coastal: check box,Counties to include,view past/current conditions,view future projections,identify vulnerabilities,adaptation planning,(climate) mitigation planning,options analysis,process support,engagement,citizen science,near future,short,mid-century (2050),end-century (2100),brief description of tool purpose (internal),Data Viewer,Map Viewer,Data Download,Data Portal,Analysis/Process Support,select below,"list data requirements, separate multiple items by semicolon",Data,Visuals,Reports, numerical data, figures/plots, gis data, maps, reports,brief description of tool outputs (internal),select below,"list specific software requirements, separate multiple by semicolon","desktop, mobile, and/or pdf accessible? check box to select.",,,select below,select below,brief description of training required and/or available to use this tool (internal),weather and climate,ecosystems,agriculture/built environment,society,water/flooding,carbon emissions, temperature, precipitation, sea level rise, storms and hurricanes, drought, wetlands, submerged aquatic veg., shorelines (& erosion), soils, restoration, eco services valuation, agriculture, forestry, fisheries and aquaculture,urban forestry, planning / land use, buidlings / infrastructure, transportation,economic assessment, social vulnerability, cultural resources, public health, air quality,"high tide, 
recurrent flooding",storm surge,saltwater intrusion,inland flooding,erosion, water level, water quality, stream flow,"if yes, check box",brief description of how tool addresses uncertainty (internal only),contact name (if available),email address,contact name (if available),email address,hyperlink url,,"publication type and title separated by a dash, with title in square brackets, directly followed by url in parenthesis with no space, split separate pubs by semicolon
• Example: Type - [Title](url); Type - [Title](url)
• Pub types include: Publication, Report, Case Study, Tutorial, Fact Sheet",initials,initials,"select from below (yes, sent, re-sent)",internal notes,Climate Resilience toolkit,Gulf tree,Adaptation Clearinghouse,Cake X,Digital Coast,not included in any of the linked inventories
Group ID,Tool ID,Tool Name,Developer,URL,Description-About,Description-Strengths,Description-Limitations,Description-Target Audience,Description-Climate Relevance,Geographic Scope-Scope,Geographic Scope-State,Geographic Scope-Locality,Geographic Scope-Coastal,Geographic Scope-Counties to include,Purpose-Tool Function-past,Purpose-Tool Function-futr,Purpose-Tool Function-risk,Purpose-Tool Function-adpt,Purpose-Tool Function-mtgt,Purpose-Tool Function-opt,Purpose-Tool Function-prcs,Purpose-Tool Function-eng,Purpose-Tool Function-com,Purpose-Future Projections-near,Purpose-Future Projections-shrt,Purpose-Future Projections-mid,Purpose-Future Projections-long,Purpose-Description,Tool Type-data,Tool Type-map,Tool Type-dl,Tool Type-port,Tool Type-anl,Tool Inputs-Required?,Tool Inputs-Data Type,Tool Outputs-dat,Tool Outputs-vis,Tool Outputs-rprt,Tool Outputs-dat,Tool Outputs-fig,Tool Outputs-gis,Tool Outputs-map,Tool Outputs-rprt,Tool Outputs-Description,Software Requirements-Cost,Software Requirements-software,Software Requirements-desktop,Software Requirements-mobile,Software Requirements-pdf,Effort / Skill-Time,Effort / Skill-Skill,Effort / Skill-Description,Topic Filters-Main Topics-clim,Topic Filters-Main Topics-eco,Topic Filters-Main Topics-ag/blt,Topic Filters-Main Topics-soc,Topic Filters-Main Topics-fld,Topic Filters-Climate-crbn,Topic Filters-Climate-temp,Topic Filters-Climate-prcp,Topic Filters-Climate-slr,Topic Filters-Climate-strm,Topic Filters-Climate-drght,Topic Filters-Ecosystems-wet,Topic Filters-Ecosystems-sav,Topic Filters-Ecosystems-shln,Topic Filters-Ecosystems-soil,Topic Filters-Ecosystems-rest,Topic Filters-Ecosystems-val,Topic Filters-Agriculture / Built Environment-agr,Topic Filters-Agriculture / Built Environment-for,Topic Filters-Agriculture / Built Environment-fish,Topic Filters-Agriculture / Built Environment-ufor,Topic Filters-Agriculture / Built Environment-plan,Topic Filters-Agriculture / Built Environment-bldg,Topic Filters-Agriculture / Built Environment-trnsp,Topic Filters-Agriculture / Built Environment-econ,Topic Filters-Society-socv,Topic Filters-Society-cult,Topic Filters-Society-hlth,Topic Filters-Society-air,Topic Filters-Water / Flooding-high,Topic Filters-Water / Flooding-surge,Topic Filters-Water / Flooding-salt,Topic Filters-Water / Flooding-inlnd,Topic Filters-Water / Flooding-ersn,Topic Filters-Water / Flooding-wl,Topic Filters-Water / Flooding-qual,Topic Filters-Water / Flooding-flow,Uncertainty Analysis-Uncertainty,Uncertainty Analysis-Description,Contact Information-Name (1),Contact Information-Email (1),Contact Information-Name (2),Contact Information-Email (2),Contact Information-URL,Documentation-Date Developed/ Updated,Documentation-Related Publications,Notes-Entered,Notes-Reviewed,Notes-Reviewed by Developer,Notes-Misc. ,Notes-Included in other inventories?-CRT,Notes-Included in other inventories?-GT,Notes-Included in other inventories?-AC,Notes-Included in other inventories?-CX,Notes-Included in other inventories?-DC,Notes-Included in other inventories?-NO
1,1,AdaptVA,VIMS_CCRM,http://adaptva.com/,"Tool that includes Sea Level Rise Projection Viewers, Tidewatch Map, and Interactive Map",,,,,State,VA,,x,coastal VA cities/counties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,AdaptVA Sea Level Rise Projection Viewer,VIMS_CCRM,http://cmap2.vims.edu/SeaLevelRise_Depth/SLRDepth_revised4.html,"The AdaptVA Sea Level Rise Projection Viewer uses an interactive map to display sea level rise projections for coastal Virginia. 

This easy-to-use tool provides three sea level rise scenarios (low, intermediate, and extreme), which can be viewed at 10-year increments from 1992 – 2100. Users may click through or automate the display to view 10-year intervals for each sea level rise scenario. This tool is intended for beginner users and does not require any specialized software or training.","Easy-to-use, interactive interface; Provides decadal projections for multiple sea level rise scenarios; Can easily search for locality of interest","Cannot compare maps simultaneously; No overlays with additional features, such as housing or critical infrastructure; No documentation or explanation of sea level rise scenarios",Community Officials; Decisionmakers; Planners; Public ,Explicit: SLR,State,VA,,x,coastal VA cities/counties,x,x,,,,,,x,,,X,X,X,Observed and projected sea level rise from 1990 to 2100,,x,,,,None,,,x,,,,,x,,"Interactive map showing observed and projected sea level rise for low, intermediate, and extreme scenarios from 1990-2100",Free,,x,,,Hour,Low,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,"This tool addresses uncertainty by providing multiple sea level scenarios (i.e., low, medium, high).  ",,adaptva@adaptva.org,,,http://cmap2.vims.edu/SeaLevelRise_Depth/SLRDepth_revised4.html,unknown,,EK,,,,,,x,,,
1,1.2,AdaptVA Tidewatch Map,VIMS_CCRM,http://cmap2.vims.edu/AdaptVA/adaptVA_viewer.html,"The AdaptVA Tidewatch Map uses an interactive map to display coastal flooding in Virginia. 

This easy-to-use tool provides 36-hour forecasts of coastal flooding, which are updated daily at 6:00 am and 6:00 pm. Users may click through or automate the display to view hourly forecasts over the next 36 hours. The tool contains location-specific plots of water level over time. ","Easy-to-use, interactive interface;  Flooding forecast is updated every 12 hours","No search option, users must click and drag to navigate to area of interest; No overlays with additional features, such as housing or critical infrastructure; No documentation or explanation of forecast methods ",Community Officials; Decisionmakers; Planners; Public,Flood events and tides are projected to become more extreme and more frequent with climate change and SLR. ,State,VA,,x,coastal VA cities/counties,x,x,,,,,,x,,,X,,,36-hour coastal flooding forecasts,,x,x,,,None,,x,x,,,,,x,,Interactive map with 36-hour coastal flooding forecast,Free,,x,,,Hour,Low,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,adaptva@adaptva.org,,,http://cmap2.vims.edu/SCHISM/TidewatchViewer.html,Updated twice daily,,EK,,,,,,x,,,
1,1.3,AdaptVA Interactive Map,VIMS_CCRM,http://cmap2.vims.edu/AdaptVA/adaptVA_viewer.html,"This tool from AdaptVA uses an interactive map to display sea level rise projections and FEMA flood hazard zones, as well as social vulnerability, infrastructure, and natural capital in a single viewer. 

This easy-to-use tool provides three sea level rise scenarios (low, intermediate, and extreme), which can be viewed at 10-year increments from 1992 – 2100. Users may click through or automate the display to view 10-year intervals for each sea level rise scenario. Users can also overlay addition features portraying vulnerability/risk, infrastructure, recommended shoreline management, and natural resources.  This tool is intended for beginner users and does not require any specialized software or training.","Easy-to-use, interactive interface; Can overlay additional features, such as infrastructure and natural resources;  Multiple basemap options;  Easy to export and print;  Excellent documentation of most map layers",Cannot compare maps simultaneously; No documentation or explanation of sea level rise scenarios,Community Officials; Decisionmakers; Planners; Public,"Combines sea level rise data with social vulnerability, infrastructure, natural resources, and management. ",State,VA,,,all VA cities/ounties,x,x,x,,,,,,,,X,X,X,"Maps that shows sea level rise projections (low, mid, and high) in relationship to social vulnerability, infrastructure, management, and natural resources. ",,x,x,,,None,,x,x,,x,,,x,,"Maps that shows sea level rise projections (low, mid, and high) in relationship to social vulnerability, infrastructure, management, and natural resources. ",Free,,x,,,Hour,Low,,x,x,x,x,x,,,,x,,,x,,x,,,,,,,,x,,x,,x,,x,,,x,,x,,,,,x,"This tool addresses uncertainty by provided multiple sea level scenarios (i.e., low, medium, high).  ",,adaptva@adaptva.org,,,http://cmap2.vims.edu/AdaptVA/adaptVA_viewer.html,,,EK,,,,,,x,,,
