FIPS,AlphaCode,Name
1,AL,Alabama
2,AK,Alaska
4,AZ,Arizona
5,AR,Arkansas
81,BI,Baker Island
6,CA,California
8,CO,Colorado
9,CT,Connecticut
10,DE,Delaware
11,DC,District of Columbia
12,FL,Florida
13,FA,Georgia
66,GU,Guam
15,HI,Hawaii
84,HI_84,Howland Island
16,ID,Idaho
17,IL,Illinois
18,IN,Indiana
19,IA,Iowa
86,JI,Jarvis Island
67,JA,Johnston Atoll
20,KS,Kansas
21,KY,Kentucky
89,KR,Kingman Reef
22,LA,Louisiana
23,ME,Maine
68,MH,Marshall Islands
24,MD,Maryland
25,MA,Massachusetts
26,MI,Michigan
71,MI_71,Midway Islands
27,MN,Minnisota
28,MS,Mississippi
29,MO,Missouri
30,MT,Montana
76,NI,Navassa Island
31,NE,Nebraska
32,NV,Nevada
33,NH,New Hampshire
34,NJ,New Jersey
35,NM,New Mexico
36,NY,New York
37,NC,North Carolina
38,ND,North Dakota
69,MP,Northern Mariana Islands
39,OH,Ohio
40,OK,Oklahoma
41,OR,Oregon
70,PW,Palau
95,PA_95,Palmyra Atoll
42,PA,Pennsylvania
72,PR,Puerto Rico
44,RI,Rhode Island
45,SC,South Carolina
46,SD,South Dakota
47,TN,Tennessee
48,TX,Texas
49,UT,Utah
50,VT,Vermont
51,VA,Virginia
78,VI,Virgin Islands
79,WI,Wake Island
53,WA,Washington
54,WV,West Virginia
55,WI,Wisconsin
56,WY,Wyoming
